Sent_Date,Day_of_week,Category_name,Main_Vs_REM,Subject,Sendings,OR,Length_Of_subject,Personalization,Emoji,Urgency,Tone,Price_or_Discount,Imperative_Tone,Product,Letter_Count,Month
2024-12-02,Saturday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,7257,0.0699,short,no,yes,yes,yes,no,yes,no,21,December
2024-11-25,Saturday,NL Final,REM,"Skynda dig! Ju större Canvas, desto större rabatt! &#x2b50;",9078,0.1001,long,no,yes,yes,yes,no,yes,yes,38,November
2024-08-02,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3111,0.1572,short,no,no,yes,yes,yes,yes,yes,28,August
2024-10-02,Sunday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2562,0.0913,short,no,no,no,no,no,no,yes,42,October
2024-07-05,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3282,0.1764,short,no,yes,yes,yes,yes,no,yes,30,July
2024-10-04,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,4347,0.1636,short,no,yes,yes,yes,yes,no,yes,30,October
2024-07-09,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3231,0.1337,short,no,no,yes,no,yes,no,no,27,July
2024-12-14,Thursday,NL Final,REM,&#x1f385;&#x1f3fb; Din hemliga rabatt går snart ut! Lös mysteriet nu!,72147,0.0906,long,no,yes,yes,yes,no,yes,no,38,December
2024-09-02,Friday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,4161,0.1305,short,no,no,no,no,no,no,yes,42,September
2024-09-20,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3831,0.1308,short,no,no,yes,yes,yes,yes,yes,28,September
2024-05-24,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3717,0.1469,short,no,yes,yes,yes,yes,no,yes,30,May
2024-07-28,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3201,0.164,short,no,no,no,no,yes,no,yes,30,July
2024-06-09,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,3105,0.1411,short,no,no,yes,no,yes,no,yes,28,June
2024-09-01,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3597,0.141,short,no,yes,no,yes,yes,no,yes,38,September
2024-07-01,Friday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,4215,0.079,short,no,yes,no,yes,yes,no,no,26,July
2024-05-24,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2772,0.1212,short,no,no,no,yes,yes,yes,yes,33,May
2024-05-05,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2178,0.1446,short,no,no,yes,no,yes,no,yes,28,May
2024-04-02,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,1347,0.1849,short,no,no,yes,no,yes,no,no,27,April
2024-03-29,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,1146,0.2199,short,no,no,yes,yes,yes,yes,yes,28,March
2024-09-13,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,4734,0.097,short,no,no,yes,yes,yes,yes,yes,28,September
2024-09-24,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3789,0.1219,short,no,no,yes,yes,yes,yes,yes,24,September
2024-08-04,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3069,0.1281,short,no,yes,no,yes,yes,no,yes,38,August
2024-12-14,Thursday,NL Final,REM,&#x1f92b; Tiden håller på att rinna ut! Mysterierabatten upphör snart att gälla!,9162,0.0887,long,no,yes,yes,yes,no,no,no,54,December
2024-01-01,Sunday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,16983,0.0793,short,no,no,no,no,yes,no,yes,25,January
2024-06-23,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3249,0.1219,short,no,yes,no,yes,yes,no,yes,38,June
2024-11-25,Saturday,NL Final,REM,"&#x1f6a8; Bara två dagar kvar av Black Week Mega Sale! | Skynda dig, {{ contact.1 }}!",9099,0.095,long,yes,yes,yes,yes,no,yes,no,43,November
2024-11-17,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,6234,0.1328,short,no,no,no,no,yes,no,yes,30,November
2024-08-09,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3369,0.1407,short,no,no,yes,yes,yes,yes,yes,28,August
2024-01-02,Sunday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,3402,0.0767,short,no,no,no,no,no,no,yes,43,January
2024-07-23,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2739,0.1303,short,no,no,yes,no,yes,no,yes,30,July
2024-10-22,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,5583,0.1236,short,no,no,yes,no,yes,no,no,27,October
2024-05-14,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3276,0.1163,short,no,no,yes,yes,yes,yes,yes,24,May
2024-06-28,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,2988,0.1596,short,no,no,yes,yes,yes,yes,yes,28,June
2024-03-01,Wednesday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,300,0.32,short,no,no,no,no,no,no,yes,43,March
2024-03-04,Friday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,2400,0.06,short,no,no,no,no,no,no,yes,42,March
2024-06-23,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3081,0.1646,short,no,no,no,no,yes,no,yes,30,June
2024-04-30,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2184,0.1552,short,no,no,yes,no,yes,no,yes,30,April
2024-07-12,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3123,0.194,short,no,yes,yes,yes,yes,no,yes,30,July
2024-08-25,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3690,0.1317,short,no,no,no,no,yes,no,yes,30,August
2024-12-02,Saturday,NL Final,MAIN,Otroligt! Upp till 84% rabatt + 25% MER den 2 december &#x1f92f;,57747,0.0647,long,no,yes,yes,yes,yes,no,no,35,December
2024-09-27,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,5112,0.1438,short,no,yes,yes,yes,yes,no,yes,30,September
2024-09-20,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3927,0.1436,short,no,no,no,yes,yes,yes,yes,33,September
2024-03-24,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,1173,0.2302,short,no,no,no,no,yes,no,yes,30,March
2024-03-31,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,1365,0.1978,short,no,no,no,no,yes,no,yes,30,March
2024-09-17,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3597,0.1501,short,no,no,yes,no,yes,no,no,27,September
2024-08-30,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3147,0.1563,short,no,no,no,yes,yes,yes,yes,33,August
2024-09-22,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3813,0.129,short,no,yes,no,yes,yes,no,yes,38,September
2024-10-15,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,4473,0.1221,short,no,no,yes,yes,yes,yes,yes,24,October
2024-08-13,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2694,0.1013,short,no,no,yes,no,yes,no,yes,30,August
2024-03-22,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,1188,0.3157,short,no,yes,yes,yes,yes,no,yes,30,March
2024-11-30,Wednesday,NL Interval,MAIN,Canvastavla 100x75cm för bara 199 kr,40236,0.1491,short,no,no,no,no,yes,no,yes,22,November
2024-10-20,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,4515,0.1276,short,no,no,yes,no,yes,no,yes,28,October
2024-10-04,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,5139,0.1319,short,no,no,yes,yes,yes,yes,yes,28,October
2024-12-13,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,9771,0.1084,short,no,no,no,yes,yes,yes,yes,33,December
2024-11-12,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,6624,0.1146,short,no,no,yes,no,yes,no,no,27,November
2024-05-31,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3597,0.1693,short,no,no,yes,yes,yes,yes,yes,28,May
2024-04-26,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2217,0.1719,short,no,no,no,yes,yes,yes,yes,33,April
2024-07-26,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3225,0.1972,short,no,yes,yes,yes,yes,no,yes,30,July
2024-08-06,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3399,0.135,short,no,no,yes,no,yes,no,no,27,August
2024-07-02,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,1851,0.1102,short,no,no,yes,yes,yes,yes,yes,24,July
2024-03-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,2085,0.0245,short,no,yes,no,yes,yes,no,no,26,March
2024-11-21,Tuesday,NL Interval,MAIN,"&#x1f4a5; Black Week börjar! | MEGA rabatter redan idag, {{ contact.1 }}!",71517,0.1039,long,yes,yes,yes,no,no,no,no,35,November
2024-04-12,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,2364,0.2284,short,no,yes,yes,yes,yes,no,yes,30,April
2024-07-30,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,3093,0.0999,short,no,no,yes,no,yes,no,yes,30,July
2024-10-13,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,4500,0.1147,short,no,yes,no,yes,yes,no,yes,38,October
2024-10-29,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,4977,0.135,short,no,no,yes,no,yes,no,no,27,October
2024-07-19,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2769,0.1311,short,no,no,no,yes,yes,yes,yes,33,July
2024-12-27,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,9243,0.1123,short,no,yes,yes,yes,yes,no,yes,30,December
2024-09-15,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3621,0.1508,short,no,no,no,no,yes,no,yes,30,September
2024-12-08,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,8913,0.1259,short,no,no,no,no,yes,no,yes,30,December
2024-08-06,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3042,0.1114,short,no,no,yes,yes,yes,yes,yes,24,August
2024-12-03,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,9762,0.1156,short,no,no,yes,no,yes,no,no,27,December
2024-06-11,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,984,0.1067,short,no,no,yes,yes,yes,yes,yes,24,June
2024-12-07,Thursday,NL Final,MAIN,&#x1f381; Shh... Det är ett mystiskt erbjudande bara för dig!,83058,0.0654,short,no,yes,no,yes,no,yes,no,37,December
2024-10-20,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,5619,0.1265,short,no,no,no,no,yes,no,yes,30,October
2024-12-02,Saturday,NL Final,MAIN,-20% EXTRA på hela din beställning | Kod i detta e-postmeddelande &#x1f440;,9042,0.1048,long,no,yes,no,no,yes,no,no,47,December
2024-08-20,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3540,0.1576,short,no,no,yes,no,yes,no,no,27,August
2024-12-06,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,9036,0.1531,short,no,yes,yes,yes,yes,no,yes,30,December
2024-07-09,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2181,0.0977,short,no,no,yes,no,yes,no,yes,30,July
2024-05-10,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,3282,0.1892,short,no,yes,yes,yes,yes,no,yes,30,May
2024-04-28,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,2202,0.1717,short,no,no,yes,no,yes,no,yes,28,April
2024-05-12,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3222,0.1676,short,no,no,no,no,yes,no,yes,30,May
2024-07-19,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3063,0.1499,short,no,no,yes,yes,yes,yes,yes,28,July
2024-09-03,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,3090,0.1398,short,no,no,yes,no,yes,no,yes,30,September
2024-05-26,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3657,0.1329,short,no,no,no,no,yes,no,yes,30,May
2024-11-19,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,6177,0.1268,short,no,no,yes,no,yes,no,no,27,November
2024-11-05,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,5196,0.1143,short,no,no,yes,yes,yes,yes,yes,24,November
2024-06-18,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,1341,0.1007,short,no,no,yes,no,yes,no,yes,30,June
2024-11-08,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,5325,0.1273,short,no,no,no,yes,yes,yes,yes,33,November
2024-10-22,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,4491,0.1149,short,no,no,yes,no,yes,no,yes,30,October
2024-07-16,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,22083,0.0924,short,no,no,yes,no,yes,no,yes,30,July
